(6, 20, 9)  
(7, 19, 1)  
(8, 18, 1)  
(9, 17, 1)  
(10, 16, 1)  
(11, 15, 9)  
(11, 14, 1)  
(11, 13, 1)  
(11, 12, 1)  
(11, 11, 1)  
(11, 10, 1)  
(11, 9, 1)  
(11, 8, 1)  
(11, 7, 1)  
(11, 6, 9)  
(12, 6, 1)  
(13, 6, 1)  
(14, 6, 1)  
(15, 6, 1)  
(16, 6, 1)  
(17, 6, 1)  
(18, 6, 1)  
(19, 6, 1)  
(20, 6, 1)  
(21, 6, 1)  
(22, 6, 1)  
(23, 6, 1)  
(24, 6, 1)  
(25, 6, 1)  
(26, 6, 1)  
(27, 6, 1)  
(28, 6, 1)  
(29, 6, 1)  
(30, 6, 1)  
(31, 6, 1)  
(32, 6, 1)  
(33, 6, 1)  
(34, 6, 1)  
(35, 6, 9)  
(35, 7, 1)  
(35, 8, 1)  
(35, 9, 1)  
(35, 10, 1)  
(35, 11, 1)  
(35, 12, 1)  
(35, 13, 1)  
(35, 14, 1)  
(35, 15, 9)  
(34, 16, 1)  
(33, 17, 1)  
(32, 18, 1)  
(31, 19, 1)  
(30, 20, 9)  
(31, 21, 1)  
(32, 22, 1)  
(33, 23, 1)  
(34, 24, 1)  
(35, 25, 9)  
(35, 26, 1)  
(35, 27, 1)  
(35, 28, 1)  
(35, 29, 1)  
(35, 30, 1)  
(35, 31, 1)  
(35, 32, 1)  
(35, 33, 1)  
(35, 34, 1)  
(35, 35, 9)  
(34, 35, 1)  
(33, 35, 1)  
(32, 35, 1)  
(31, 35, 1)  
(30, 35, 1)  
(29, 35, 1)  
(28, 35, 1)  
(27, 35, 1)  
(26, 35, 1)  
(25, 35, 1)  
(24, 35, 1)  
(23, 35, 1)  
(22, 35, 1)  
(21, 35, 1)  
(20, 35, 1)  
(19, 35, 1)  
(18, 35, 1)  
(17, 35, 1)  
(16, 35, 1)  
(15, 35, 1)  
(14, 35, 1)  
(13, 35, 1)  
(12, 35, 1)  
(11, 35, 9)  
(11, 34, 1)  
(11, 33, 1)  
(11, 32, 1)  
(11, 31, 1)  
(11, 30, 1)  
(11, 29, 1)  
(11, 28, 1)  
(11, 27, 1)  
(11, 26, 1)  
(11, 25, 9)  
(10, 24, 1)  
(9, 23, 1)  
(8, 22, 1)  
(7, 21, 1)  
