(7, 1, 9)  
(8, 2, 1)  
(9, 3, 1)  
(10, 4, 1)  
(11, 5, 1)  
(12, 6, 1)  
(13, 7, 9)  
(13, 8, 1)  
(14, 9, 1)  
(14, 10, 1)  
(15, 11, 1)  
(16, 12, 1)  
(17, 13, 1)  
(18, 14, 9)  
(18, 15, 1)  
(18, 16, 1)  
(18, 17, 1)  
(18, 18, 1)  
(18, 19, 1)  
(18, 20, 1)  
(18, 21, 1)  
(18, 22, 1)  
(18, 23, 1)  
(18, 24, 1)  
(18, 25, 1)  
(18, 26, 1)  
(18, 27, 1)  
(18, 28, 1)  
(18, 29, 1)  
(18, 30, 1)  
(18, 31, 1)  
(18, 32, 1)  
(18, 33, 1)  
(18, 34, 1)  
(18, 35, 1)  
(18, 36, 1)  
(18, 37, 1)  
(18, 38, 9)  
(17, 37, 1)  
(16, 36, 1)  
(15, 35, 1)  
(14, 34, 1)  
(13, 33, 1)  
(12, 32, 1)  
(11, 31, 1)  
(10, 30, 1)  
(9, 29, 1)  
(8, 28, 1)  
(7, 27, 9)  
(7, 26, 1)  
(7, 25, 1)  
(7, 24, 1)  
(7, 23, 1)  
(7, 22, 1)  
(7, 21, 1)  
(7, 20, 1)  
(7, 19, 1)  
(7, 18, 1)  
(7, 17, 1)  
(7, 16, 1)  
(7, 15, 1)  
(7, 14, 1)  
(7, 13, 1)  
(7, 12, 1)  
(7, 11, 1)  
(7, 10, 1)  
(7, 9, 1)  
(7, 8, 1)  
(7, 7, 1)  
(7, 6, 1)  
(7, 5, 1)  
(7, 4, 1)  
(7, 3, 1)  
(7, 2, 1)  
